0	2	976
2	0	196
0	976	521
976	2	787
2	196	425
196	0	610
0	521	661
521	976	450
976	787	43
787	2	955
2	425	955
425	196	330
196	610	887
610	0	661
661	521	508
521	450	250
450	976	43
43	787	843
787	955	335
955	425	166
425	330	823
330	196	887
887	610	879
610	661	428
661	508	104
508	521	250
250	450	894
450	43	572
43	843	639
843	787	335
335	955	574
955	166	574
166	425	823
823	330	982
330	887	56
887	879	267
879	610	428
428	661	104
104	508	750
508	250	792
250	894	372
894	450	572
572	43	639
639	843	578
843	335	731
335	574	802
574	166	653
166	823	270
823	982	514
982	330	56
56	887	267
267	879	693
879	428	895
428	104	590
104	750	316
750	508	792
792	250	372
372	894	493
894	572	893
572	639	561
639	578	509
578	843	731
731	335	802
802	574	373
574	653	373
653	166	270
270	823	514
514	982	81
982	56	318
56	267	318
267	693	990
693	879	895
895	428	590
590	104	316
316	750	404
750	792	57
792	372	30
372	493	381
493	894	893
893	572	561
561	639	509
509	578	470
578	731	145
731	802	394
802	373	763
373	653	370
653	270	463
270	514	566
514	81	90
81	982	318
318	267	990
990	693	239
693	895	902
895	590	251
590	316	713
316	404	54
404	750	57
57	792	30
30	372	381
381	493	256
493	893	662
893	561	467
561	509	189
509	470	302
470	578	145
145	731	394
394	802	763
763	373	289
373	370	289
370	653	463
463	270	566
566	514	90
90	81	140
81	318	810
318	990	852
990	239	997
239	693	902
902	895	251
251	590	713
713	316	54
54	404	942
404	57	942
57	30	803
30	381	575
381	256	622
256	493	662
662	893	467
467	561	189
189	509	302
302	470	774
470	145	774
145	394	346
394	763	587
763	289	746
289	370	331
370	463	424
463	566	666
566	90	24
90	140	102
140	81	810
810	318	852
852	990	997
997	239	379
239	902	733
902	251	609
251	713	913
713	54	585
54	942	58
942	57	185
57	803	185
803	30	575
575	381	622
622	256	182
256	662	735
662	467	613
467	189	427
189	302	79
302	774	882
774	145	850
145	346	850
346	394	587
587	763	746
746	289	556
289	331	556
331	370	424
424	463	666
666	566	24
24	90	102
102	140	670
140	810	246
810	852	540
852	997	840
997	379	433
379	239	733
733	902	609
609	251	913
913	713	585
585	54	58
58	942	851
942	185	851
185	803	654
803	575	654
575	622	916
622	182	917
182	256	735
735	662	613
613	467	427
427	189	79
79	302	882
882	774	227
774	850	227
850	346	80
346	587	114
587	746	114
746	556	55
556	331	342
331	424	838
424	666	16
666	24	743
24	102	386
102	670	936
670	140	246
246	810	540
540	852	840
840	997	433
433	379	383
379	733	784
733	609	760
609	913	689
913	585	905
585	58	193
58	851	985
851	185	724
185	654	45
654	575	916
916	622	917
917	182	25
182	735	885
735	613	160
613	427	40
427	79	339
79	882	658
882	227	845
227	850	147
850	80	147
80	346	114
114	746	110
746	55	110
55	556	817
556	342	817
342	331	838
838	424	16
16	666	743
743	24	386
386	102	936
936	670	954
670	246	553
246	540	553
540	840	567
840	433	567
433	383	95
383	379	784
784	733	760
760	609	689
689	913	905
905	585	193
193	58	985
985	851	484
851	724	484
724	185	45
45	654	340
654	916	340
916	917	582
917	25	215
25	182	885
885	735	160
160	613	40
40	427	339
339	79	658
658	882	845
845	227	579
227	147	579
147	80	527
80	114	305
114	110	305
110	55	355
55	817	355
817	342	637
342	838	291
838	16	252
16	743	321
743	386	632
386	936	294
936	954	767
954	670	553
553	540	911
540	567	911
567	433	95
95	383	464
383	784	224
784	760	975
760	689	969
689	905	84
905	193	366
193	985	301
985	484	144
484	724	568
724	45	568
45	340	205
340	916	582
582	917	215
215	25	934
25	885	363
885	160	472
160	40	795
40	339	452
339	658	229
658	845	333
845	579	832
579	147	49
147	527	49
527	80	305
305	110	341
110	355	341
355	817	402
817	637	402
637	342	291
291	838	252
252	16	321
321	743	632
632	386	294
294	936	767
767	954	337
954	553	862
553	911	877
911	567	937
567	95	937
95	464	163
464	383	224
224	784	975
975	760	969
969	689	84
84	905	366
366	193	301
301	985	144
144	484	623
484	568	94
568	45	205
205	340	97
340	582	97
582	215	929
215	934	523
934	25	363
363	885	472
472	160	795
795	40	452
452	339	229
229	658	333
333	845	832
832	579	753
579	49	753
49	527	456
527	305	112
305	341	112
341	355	938
355	402	938
402	637	712
637	291	138
291	252	389
252	321	117
321	632	594
632	294	869
294	767	153
767	337	966
337	954	862
862	553	877
877	911	987
911	937	987
937	95	163
163	464	266
464	224	732
224	975	688
975	969	559
969	84	469
84	366	855
366	301	812
301	144	432
144	623	573
623	484	94
94	568	359
568	205	359
205	97	909
97	582	929
929	215	523
523	934	948
934	363	258
363	472	276
472	795	41
795	452	485
452	229	854
229	333	292
333	832	412
832	753	128
753	49	564
49	456	564
456	527	112
112	341	531
341	938	531
938	402	457
402	712	457
712	637	138
138	291	389
389	252	117
117	321	594
594	632	869
869	294	153
153	767	966
966	337	631
337	862	598
862	877	705
877	987	705
987	937	584
937	163	584
163	266	148
266	464	732
732	224	688
688	975	559
559	969	469
469	84	855
855	366	812
812	301	432
432	144	573
573	623	306
623	94	306
94	359	240
359	205	909
909	97	897
97	929	897
929	523	216
523	948	723
948	934	258
258	363	276
276	472	41
41	795	485
485	452	854
854	229	292
292	333	412
412	832	128
128	753	87
753	564	87
564	456	22
456	112	857
112	531	857
531	938	620
938	457	620
457	712	468
712	138	652
138	389	798
389	117	86
117	594	356
594	869	842
869	153	824
153	966	824
966	631	353
631	337	598
598	862	705
705	987	494
987	584	494
584	163	148
148	266	841
266	732	549
732	688	60
688	559	709
559	469	939
469	855	858
855	812	856
812	432	23
432	573	74
573	306	778
306	94	240
240	359	515
359	909	515
909	897	550
897	929	216
216	523	723
723	948	941
948	258	648
258	276	442
276	41	395
41	485	554
485	854	956
854	292	900
292	412	186
412	128	907
128	87	10
87	564	844
564	22	844
22	456	857
857	531	680
531	620	680
620	457	141
457	468	141
468	712	652
652	138	798
798	389	86
86	117	356
356	594	842
842	869	824
824	966	353
353	631	413
631	598	944
598	705	541
705	494	904
494	584	992
584	148	992
148	841	903
841	266	549
549	732	60
60	688	709
709	559	939
939	469	858
858	855	856
856	812	23
23	432	74
74	573	778
778	306	738
306	240	738
240	515	546
515	909	550
550	897	714
897	216	714
216	723	164
723	941	277
941	948	648
648	258	442
442	276	395
395	41	554
554	485	956
956	854	900
900	292	186
186	412	907
907	128	10
10	87	396
87	844	396
844	22	387
22	857	203
857	680	203
680	620	146
620	141	146
141	468	194
468	652	344
652	798	420
798	86	8
86	356	806
356	842	687
842	824	209
824	353	605
353	413	426
413	631	944
944	598	541
541	705	904
904	494	538
494	992	538
992	148	903
903	841	943
841	549	33
549	60	385
60	709	930
709	939	309
939	858	685
858	856	183
856	23	444
23	74	496
74	778	757
778	738	214
738	240	546
546	515	796
515	550	796
550	714	677
714	216	164
164	723	277
277	941	403
941	648	377
648	442	588
442	395	63
395	554	949
554	956	360
956	900	127
900	186	679
186	907	213
907	10	901
10	396	325
396	844	686
844	387	686
